source_page,source_table,Item Name,Count,Amount,month,priceper
1,1,Beef Tossed Ramen,468,6921.26,May,14.79
1,1,Beef Ramen,339,5045.65,May,14.88
1,1,Lunch Special,269,3783.26,May,14.06
1,1,Pork Tossed Ramen,260,3526.47,May,13.56
1,1,Chicken Rice Noodle Soup,233,3303.84,May,14.18
1,1,Chicken Ramen,222,3313.0,May,14.92
1,1,Mai Special Fried Chicken(8),309,3089.87,May,10.0
1,1,Beef Tossed Rice Noodle,195,3102.44,May,15.91
1,1,Chicken Tossed Ramen,200,2906.3,May,14.53
1,1,Beef Rice Noodle Soup,147,2316.04,May,15.76
1,1,Pork Ramen,131,1845.21,May,14.09
1,1,Chicken Tossed Rice Noodles,118,1726.89,May,14.63
1,1,House Ramen,91,1474.52,May,16.2
1,1,Mai's Golden Flake Fried Chicken(8),138,1378.05,May,9.99
1,1,Fried Pork Dumplings(10),119,1063.71,May,8.94
1,1,Pork Tossed Rice Noodle,72,992.7,May,13.79
2,1,Golden Coconut Crunch Chicken(8),96,982.35,May,10.23
2,1,Pork Rice Noodle Soup,72,986.46,May,13.7
2,1,Chicken Fried Rice,80,1000.1,May,12.5
2,1,Mai OG Fried Chicken Wings(4),193,960.71,May,4.98
2,1,Brown Sugar Milk Tea w. Boba (24oz),196,888.71,May,4.53
2,1,Steam Pork Dumplings(10),94,819.22,May,8.72
2,1,Crispy Spring Roll(3),185,726.44,May,3.93
2,1,House Rice Noodle Soup,42,684.02,May,16.29
2,1,House Fried Rice,46,692.23,May,15.05
2,1,Tempura Shrimp(3),138,674.01,May,4.88
2,1,Crispy Pork Egg Roll(3),162,651.24,May,4.02
2,1,Onion Glory Fried Chicken(8),59,589.13,May,9.99
2,1,Strawberry Sunrise Tea,152,555.16,May,3.65
2,1,Sichuan Chili Wontons,50,546.94,May,10.94
2,1,Vegetable Ramen,33,440.0,May,13.33
2,1,Vegetable Rice Noodle Soup,30,408.55,May,13.62
2,1,Citrus Honey Fried Chicken  (8),43,434.87,May,10.11
2,1,Beef Fried Rice,28,377.5,May,13.48
2,1,Shrimp Fried Rice,29,389.91,May,13.45
2,1,Mai Buffalo Chicken Wings(8),35,346.69,May,9.91
2,1,Golden kiwi,87,316.02,May,3.63
2,1,Dr. Pepper,118,344.71,May,2.92
3,1,Cream Cheese Wonton?6?,60,352.83,May,5.88
3,1,Specialty Drink,115,338.5,May,2.94
3,1,Diet Pepsi,97,284.98,May,2.94
3,1,Spicy Cucumber Salad,46,249.14,May,5.42
3,1,Pepsi,83,238.52,May,2.87
3,1,Cream Cheese Rangoon(6),47,263.68,May,5.61
3,1,Pork Fried Rice,17,213.55,May,12.56
3,1,Sweet Ice Tea,79,228.04,May,2.89
3,1,Unsweet Ice Tea,69,197.17,May,2.86
3,1,Crispy French Fries,47,184.56,May,3.93
3,1,BF chicken cutlet combo,20,242.53,May,12.13
3,1,Wasabi Spiced Fried Chicken (8),16,158.84,May,9.93
