source_page,source_table,Item Name,Count,Amount
1,1,Beef Ramen,328,"$5,032.52"
1,1,Lunch Special,308,"$4,160.47"
1,1,Beef Tossed Ramen,214,"$3,166.60"
1,1,Mai's BF Chicken Cutlet Combo,201,"$3,047.09"
1,1,Chicken Ramen,181,"$2,613.36"
1,1,Pork Ramen,173,"$2,413.66"
1,1,Beef Tossed Rice Noodle,146,"$2,343.52"
1,1,Sichuan Chili Wontons,181,"$2,027.16"
1,1,Chicken Rice Noodle Soup,132,"$1,922.45"
1,1,Beef Rice Noodle Soup,123,"$1,889.06"
1,1,House Ramen,112,"$1,830.92"
1,1,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",129,"$1,761.18"
1,1,Chicken Tossed Rice Noodles,115,"$1,648.14"
1,1,Mai Special Fried Chicken(8),157,"$1,538.48"
1,1,Pork Tossed Ramen,116,"$1,553.80"
1,1,Chicken Fried Rice,130,"$1,568.64"
2,1,Pork Tossed Rice Noodle,100,"$1,355.56"
2,1,Chicken Tossed Ramen,101,"$1,439.54"
2,1,Steamed Pork Buns,233,"$1,190.88"
2,1,Shrimp Fried Rice,87,"$1,113.51"
2,1,Beef Fried Rice,75,$992.82
2,1,Fried Pork Dumplings(10),108,$970.51
2,1,House Rice Noodle Soup,61,$997.21
2,1,House Fried Rice,72,"$1,004.67"
2,1,Pork Rice Noodle Soup,63,$889.57
2,1,Steam Pork Dumplings(10),106,$948.27
2,1,Vegetable Ramen,50,$684.06
2,1,Cream Cheese Rangoon(6),117,$716.65
2,1,Brown Sugar Milk Tea w. boba,149,$601.79
2,1,House Tossed Rice Noodle,35,$560.46
2,1,Citrus Honey Fried Chicken  (8),53,$536.24
2,1,Tempura Shrimp(3),102,$487.66
2,1,Mai's Golden Flake Fried Chicken(8),50,$533.85
2,1,Crispy Spring Roll(3),132,$523.04
2,1,Chili Pepper Fried Chicken?8?,51,$509.24
2,1,Thai Milk Tea w. boba,98,$433.74
2,1,House Tossed Ramen,27,$443.31
2,1,Spicy Cucumber Salad,69,$378.50
3,1,Mai BF Chicken Cutlet Combo,20,$347.38
3,1,Vegetable Rice Noodle Soup,25,$355.64
3,1,Vegetable Fried Rice,31,$361.06
3,1,Pork Fried Rice,27,$344.44
3,1,Jumbo Chicken Tenders Combo (3),39,$378.75
3,1,Golden Coconut Crunch Chicken(8),33,$339.86
3,1,Wonton Soup,30,$328.39
3,1,Crispy Pork Egg Roll(3),75,$295.23
3,1,Vegetable Tossed Rice Noodle,24,$324.97
3,1,Vegetable Tossed Ramen,22,$305.12
3,1,Mai OG Fried Chicken Wings(4),51,$274.32
3,1,Brown Sugar Rice Cake (5),54,$289.82
3,1,Dr. Pepper,94,$279.40
3,1,Pepsi zero,91,$260.31
3,1,Pepsi,87,$253.94
3,1,Tangy Honey Mustard Fried Chicken (8),28,$259.41
3,1,Sweet Ice Tea,87,$247.16
3,1,Sweet Sesame Ball (6) w. red bean,48,$223.93
3,1,Strawberry Sunrise,61,$249.01
3,1,Mai's BF Chicken Cutlet,29,$218.02
3,1,Onion Glory Fried Chicken(8),23,$237.88
3,1,Golden Kiwi,49,$203.94
4,1,Unsweet Ice Tea,69,$201.11
4,1,Specialty Drink,69,$203.14
4,1,Mai Buffalo Chicken Wings(8),22,$214.18
4,1,Crispy French Fries(LG),43,$168.35
4,1,Lemonade,59,$175.02
4,1,Mango Milk Tea,40,$190.20
4,1,Strawberry Milk Tea,42,$186.52
4,1,Steam Pork Bun ?3?,16,$113.94
4,1,Hot Tea,35,$103.03
4,1,Brown Sugar Milk Tea,22,$99.33
4,1,Strawberry Jas-Lemonade,23,$94.87
4,1,BF chicken cutlet combo,7,$92.50
4,1,Mango Jas-Lemonade,17,$72.87
4,1,Plain Fried Rice,18,$80.25
4,1,White Rice - DINE IN,48,$73.59
4,1,Starry - Sprite,23,$67.46
4,1,Matcha Milk Tea w. boba,16,$72.67
4,1,Peach Jas-Lemonade,13,$58.69
4,1,Jumbo Chicken Tenders(3),10,$61.24
4,1,Original Jas-Lemonade,13,$58.29
4,1,Gift Card,5,$45.00
4,1,Bottled Soda,15,$42.74
5,1,Ramen,17,$41.20
5,1,Lychee Jas-Lemonade,10,$37.81
5,1,Pork Bun (3),6,$35.94
5,1,Orange Crush,13,$38.73
5,1,Chunked Beef,10,$39.28
5,1,Rice Noodle,15,$36.91
5,1,Braised Pork,9,$29.82
5,1,Braised Egg ?2 half?,15,$26.30
5,1,Thai Milk Tea,5,$24.37
5,1,White Rice,9,$26.92
5,1,Blueberry Jas-Lemonade,6,$20.52
5,1,Ramune - Strawberry,5,$18.23
5,1,BF chicken cutlet,2,$15.00
5,1,Braised Chicken,5,$14.20
5,1,Chili Pepper Fried Chicken (8),1,$11.99
5,1,Tangy Honey Mustard Fried Chicken(8),1,$11.99
5,1,Bottled Water,7,$12.64
5,1,Wasabi Spiced Fried Chicken (8),1,$9.99
5,1,Shrimp (8),4,$12.84
5,1,White Rice-To Go,3,$9.50
5,1,Crispy French Fries,2,$7.98
5,1,Pepsi Zero,2,$7.32
6,1,Ramune - Melon,2,$6.58
6,1,Sweet Tea,2,$5.98
6,1,Jumbo Chicken Tender (3),1,$5.50
6,1,Strawberry Milk Tea  (24oz),1,$5.50
6,1,Tropical Jas-Lemonade,2,$3.80
6,1,Coconut Milk,1,$3.66
6,1,Ramune - Original,1,$3.59
6,1,Brown Sugar Milk Tea w. Boba (24oz),1,$2.37
6,1,Pork Bun (1),1,$2.25
6,1,Open Food,1,$1.50
6,1,Popping boba -,1,$1.00
6,1,Mai‘s special Sauce,1,$1.00
6,1,Popping boba - -1,1,$0.00
6,1,Sliced Fruit  - 5 day expiration,17,$0.00
6,1,Brew Tea - 5 days exp,5,$0.00
6,1,Braised Chicken - 5 days exp,4,$0.00
6,1,Chunked Pork - 5 days exp,2,$0.00
6,1,Chunked Beef - 5 days exp,8,$0.00
6,1,Water,"2,140",$0.00
6,1,Braised Egg,2,$3.89
