source_page,source_table,Item Name,Count,Amount
1,1,Beef Ramen,357,"$5,600.47"
1,1,Lunch Special,366,"$5,149.01"
1,1,Mai's BF Chicken Cutlet Combo,266,"$4,080.53"
1,1,Pork Ramen,227,"$3,194.81"
1,1,Chicken Ramen,204,"$2,934.90"
1,1,Beef Tossed Rice Noodle,155,"$2,522.59"
1,1,Beef Tossed Ramen,170,"$2,547.87"
1,1,Chicken Fried Rice,190,"$2,379.19"
1,1,Mai Special Fried Chicken(8),200,"$2,002.64"
1,1,Chicken Rice Noodle Soup,133,"$1,979.08"
1,1,Sichuan Chili Wontons,165,"$1,867.63"
1,1,Pork Tossed Ramen,144,"$1,917.99"
1,1,Beef Rice Noodle Soup,118,"$1,837.62"
1,1,Steamed Pork Buns,349,"$1,735.84"
1,1,House Ramen,97,"$1,595.96"
1,1,Pork Tossed Rice Noodle,105,"$1,423.40"
2,1,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",106,"$1,436.39"
2,1,Chicken Tossed Ramen,93,"$1,317.34"
2,1,Mai's Golden Flake Fried Chicken(8),81,"$1,171.06"
2,1,Fried Pork Dumplings(10),136,"$1,239.72"
2,1,Beef Fried Rice,82,"$1,175.20"
2,1,Chicken Tossed Rice Noodles,73,"$1,041.00"
2,1,Cream Cheese Rangoon(6),147,"$1,085.89"
2,1,Shrimp Fried Rice,78,"$1,056.36"
2,1,Steam Pork Dumplings(10),114,"$1,008.12"
2,1,Pork Rice Noodle Soup,68,$933.28
2,1,House Fried Rice,63,$906.49
2,1,House Rice Noodle Soup,59,$974.87
2,1,Vegetable Fried Rice,39,$805.56
2,1,Mai's BF Chicken Cutlet,109,$781.11
2,1,Vegetable Ramen,55,$771.57
2,1,Thai Milk Tea w. boba,166,$738.59
2,1,Brown Sugar Milk Tea w. boba,169,$728.16
2,1,House Tossed Rice Noodle,41,$682.06
2,1,Pork Fried Rice,40,$588.41
2,1,Wonton Soup,48,$538.90
2,1,Crispy Spring Roll(3),111,$514.27
2,1,Chili Pepper Fried Chicken?8?,50,$494.84
3,1,House Tossed Ramen,32,$516.72
3,1,Tempura Shrimp(3),88,$445.43
3,1,Vegetable Rice Noodle Soup,32,$442.28
3,1,Golden Coconut Crunch Chicken(8),42,$422.19
3,1,Jumbo Chicken Tenders Combo (3),39,$391.75
3,1,Matcha Milk Tea w. boba,88,$445.74
3,1,Crispy Pork Egg Roll(3),91,$372.53
3,1,Mango Milk Tea,82,$381.28
3,1,Spicy Cucumber Salad,64,$356.75
3,1,Sweet Sesame Ball (6) w. red bean,66,$326.11
3,1,Steam Pork Bun ?3?,39,$294.51
3,1,Vegetable Tossed Rice Noodle,17,$302.35
3,1,Dr. Pepper,98,$291.57
3,1,Vegetable Tossed Ramen,21,$291.16
3,1,Pepsi,90,$268.09
3,1,Brown Sugar Rice Cake (5),50,$268.38
3,1,Citrus Honey Fried Chicken  (8),29,$286.81
3,1,Pepsi zero,94,$277.37
3,1,Tangy Honey Mustard Fried Chicken (8),26,$257.33
3,1,Onion Glory Fried Chicken(8),22,$223.80
3,1,Strawberry Sunrise,59,$252.37
3,1,Strawberry Milk Tea,50,$234.01
4,1,Mai OG Fried Chicken Wings(4),42,$217.46
4,1,Golden Kiwi,46,$207.64
4,1,Sweet Ice Tea,71,$209.81
4,1,Plain Fried Rice,43,$182.43
4,1,Crispy French Fries(LG),47,$184.41
4,1,Specialty Drink,57,$169.58
4,1,Mai BF Chicken Cutlet Combo,10,$175.94
4,1,Mai Buffalo Chicken Wings(8),20,$193.97
4,1,Mango Jas-Lemonade,38,$168.05
4,1,Unsweet Ice Tea,53,$154.07
4,1,Hot Tea,39,$115.78
4,1,Strawberry Jas-Lemonade,29,$130.03
4,1,Lemonade,38,$108.96
4,1,Starry - Sprite,25,$73.66
4,1,Jumbo Chicken Tenders(3),15,$97.02
4,1,Original Jas-Lemonade,15,$63.99
4,1,Ramen,26,$65.93
4,1,White Rice - DINE IN,42,$60.26
4,1,White Rice,19,$58.14
4,1,Bottled Soda,16,$48.26
4,1,Peach Jas-Lemonade,8,$37.01
4,1,Orange Crush,13,$39.39
5,1,Lychee Jas-Lemonade,7,$30.70
5,1,Rice Noodle,11,$27.70
5,1,Mai‘s special Sauce,21,$25.60
5,1,Pepsi Zero,6,$21.29
5,1,White Rice-To Go,10,$23.75
5,1,Braised Egg ?2 half?,12,$21.00
5,1,Tropical Jas-Lemonade,3,$15.00
5,1,Mango Bingsu,2,$14.29
5,1,Brown Sugar Bingsu,4,$20.25
5,1,Ramune - Strawberry,4,$13.30
5,1,Shrimp (8),4,$13.00
5,1,Blueberry Jas-Lemonade,4,$16.55
5,1,Thai Bingsu,4,$19.23
5,1,Chunked Beef,3,$12.32
5,1,Open Food,2,$9.31
5,1,Bottled Water,5,$8.58
5,1,Ramune - Grape,2,$7.32
5,1,Braised Pork,2,$7.23
5,1,Strawberry Bingsu,2,$6.75
5,1,Coconut Milk,2,$6.65
5,1,Braised Egg,3,$6.42
5,1,??? Orange Soda,1,$3.66
6,1,Ramune - Melon,1,$3.66
6,1,Braised Chicken,1,$3.25
6,1,soup to go,1,$1.50
6,1,Water,"2,157",$0.00
