source_page,source_table,Item Name,Count,Amount,month,priceper,Item name,braised beef used (g),Braised Chicken(g),Braised Pork(g),Egg(count),Rice(g),Ramen (count),Rice Noodles(g),chicken thigh (pcs),Chicken Wings (pcs),flour (g),Pickle Cabbage,Green Onion,Cilantro,White onion,Peas(g),Carrot(g),Boychoy(g),Tapioca Starch
1,1,Beef Tossed Ramen,468,6921.26,May,14.79,Beef Tossed Ramen,140.0,,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,50.0,
1,1,Beef Ramen,339,5045.65,May,14.88,Beef Ramen,140.0,,,0.5,,1.0,,,,,,20.0,20.0,,,,,
1,1,Pork Tossed Ramen,260,3526.47,May,13.56,Pork Tossed Ramen,,,140.0,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
1,1,Chicken Rice Noodle Soup,233,3303.84,May,14.18,Chicken Rice Noodle Soup,,140.0,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
1,1,Chicken Ramen,222,3313.0,May,14.92,Chicken Ramen,,140.0,,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
1,1,Chicken Tossed Ramen,200,2906.3,May,14.53,Chicken Tossed Ramen,,140.0,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
1,1,Beef Rice Noodle Soup,147,2316.04,May,15.76,Beef Rice Noodle Soup,140.0,,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
1,1,Pork Ramen,131,1845.21,May,14.09,Pork Ramen,,,140.0,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
1,1,Chicken Tossed Rice Noodles,118,1726.89,May,14.63,Chicken Tossed Rice Noodles,,140.0,,0.5,,,300.0,,,,50.0,20.0,20.0,,,,,
2,1,Pork Rice Noodle Soup,72,986.46,May,13.7,Pork Rice Noodle Soup,,,140.0,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
2,1,Chicken Fried Rice,80,1000.1,May,12.5,Chicken Fried Rice,,100.0,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
2,1,Beef Fried Rice,28,377.5,May,13.48,Beef Fried Rice,100.0,,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
3,1,Pork Fried Rice,17,213.55,May,12.56,Pork Fried Rice,,,100.0,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
1,1,Beef Tossed Ramen,286,4248.69,June,14.86,Beef Tossed Ramen,140.0,,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,50.0,
1,1,Beef Ramen,195,2907.79,June,14.91,Beef Ramen,140.0,,,0.5,,1.0,,,,,,20.0,20.0,,,,,
1,1,Chicken Rice Noodle Soup,153,2196.39,June,14.36,Chicken Rice Noodle Soup,,140.0,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
1,1,Pork Tossed Ramen,134,1769.95,June,13.21,Pork Tossed Ramen,,,140.0,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
1,1,Chicken Ramen,117,1724.75,June,14.74,Chicken Ramen,,140.0,,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
1,1,Beef Rice Noodle Soup,81,1241.45,June,15.33,Beef Rice Noodle Soup,140.0,,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
1,1,Chicken Tossed Rice Noodles,78,1176.77,June,15.09,Chicken Tossed Rice Noodles,,140.0,,0.5,,,300.0,,,,50.0,20.0,20.0,,,,,
1,1,Chicken Tossed Ramen,81,1138.02,June,14.05,Chicken Tossed Ramen,,140.0,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
1,1,Pork Ramen,77,1034.83,June,13.44,Pork Ramen,,,140.0,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
2,1,Chicken Fried Rice,47,588.99,June,12.53,Chicken Fried Rice,,100.0,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
2,1,Pork Rice Noodle Soup,29,389.42,June,13.43,Pork Rice Noodle Soup,,,140.0,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
3,1,Beef Fried Rice,18,243.61,June,13.53,Beef Fried Rice,100.0,,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
3,1,Pork Fried Rice,12,153.56,June,12.8,Pork Fried Rice,,,100.0,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
1,1,Beef Tossed Ramen,321,4564.29,July,14.22,Beef Tossed Ramen,140.0,,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,50.0,
1,1,Beef Ramen,273,3986.72,July,14.6,Beef Ramen,140.0,,,0.5,,1.0,,,,,,20.0,20.0,,,,,
1,1,Chicken Rice Noodle Soup,173,2486.42,July,14.37,Chicken Rice Noodle Soup,,140.0,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
1,1,Chicken Ramen,127,1888.36,July,14.87,Chicken Ramen,,140.0,,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
1,1,Pork Tossed Ramen,141,1907.81,July,13.53,Pork Tossed Ramen,,,140.0,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
1,1,Chicken Tossed Ramen,110,1541.79,July,14.02,Chicken Tossed Ramen,,140.0,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
1,1,Pork Ramen,95,1321.41,July,13.91,Pork Ramen,,,140.0,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
1,1,Chicken Tossed Rice Noodles,80,1168.76,July,14.61,Chicken Tossed Rice Noodles,,140.0,,0.5,,,300.0,,,,50.0,20.0,20.0,,,,,
1,1,Beef Rice Noodle Soup,66,1036.74,July,15.71,Beef Rice Noodle Soup,140.0,,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
2,1,Chicken Fried Rice,44,571.13,July,12.98,Chicken Fried Rice,,100.0,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
2,1,Pork Rice Noodle Soup,33,444.59,July,13.47,Pork Rice Noodle Soup,,,140.0,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
2,1,Beef Fried Rice,18,247.79,July,13.77,Beef Fried Rice,100.0,,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
3,1,Pork Fried Rice,13,165.57,July,12.74,Pork Fried Rice,,,100.0,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
1,1,Beef Ramen,328,5032.52,August,15.34,Beef Ramen,140.0,,,0.5,,1.0,,,,,,20.0,20.0,,,,,
1,1,Beef Tossed Ramen,214,3166.6,August,14.8,Beef Tossed Ramen,140.0,,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,50.0,
1,1,Chicken Ramen,181,2613.36,August,14.44,Chicken Ramen,,140.0,,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
1,1,Pork Ramen,173,2413.66,August,13.95,Pork Ramen,,,140.0,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
1,1,Chicken Rice Noodle Soup,132,1922.45,August,14.56,Chicken Rice Noodle Soup,,140.0,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
1,1,Beef Rice Noodle Soup,123,1889.06,August,15.36,Beef Rice Noodle Soup,140.0,,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
1,1,Chicken Tossed Rice Noodles,115,1648.14,August,14.33,Chicken Tossed Rice Noodles,,140.0,,0.5,,,300.0,,,,50.0,20.0,20.0,,,,,
1,1,Pork Tossed Ramen,116,1553.8,August,13.39,Pork Tossed Ramen,,,140.0,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
1,1,Chicken Fried Rice,130,1568.64,August,12.07,Chicken Fried Rice,,100.0,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
2,1,Chicken Tossed Ramen,101,1439.54,August,14.25,Chicken Tossed Ramen,,140.0,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
2,1,Beef Fried Rice,75,992.82,August,13.24,Beef Fried Rice,100.0,,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
2,1,Pork Rice Noodle Soup,63,889.57,August,14.12,Pork Rice Noodle Soup,,,140.0,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
3,1,Pork Fried Rice,27,344.44,August,12.76,Pork Fried Rice,,,100.0,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
1,1,Beef Ramen,362,5626.37,September,15.54,Beef Ramen,140.0,,,0.5,,1.0,,,,,,20.0,20.0,,,,,
1,1,Pork Ramen,242,3360.22,September,13.89,Pork Ramen,,,140.0,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
1,1,Chicken Ramen,205,2976.79,September,14.52,Chicken Ramen,,140.0,,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
1,1,Beef Tossed Ramen,188,2867.41,September,15.25,Beef Tossed Ramen,140.0,,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,50.0,
1,1,Chicken Rice Noodle Soup,133,1961.81,September,14.75,Chicken Rice Noodle Soup,,140.0,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
